policy,total_cost,catastrophe_pct,repairs_per_ep,replaces_per_ep,avg_reward
ThresholdPolicy,189.8809999999997,0.0,0.8366666666666667,0.0,-189.8809999999997
DDQN,58.278000000000176,2.0,0.0,1.7433333333333334,-58.278000000000176
Dueling DQN,64.25433333333342,2.0,0.0,1.9466666666666668,-64.25433333333342
PPO,57.39933333333356,2.666666666666667,0.0,1.8766666666666667,-57.39933333333356
Risk-Neutral QR-DQN,187.23654251225688,8.333333333333332,0.21666666666666667,8.853333333333333,-187.23654251225688
CVaR QR-DQN (ours),252.3637156374049,12.333333333333334,0.4766666666666667,7.836666666666667,-252.3637156374049
