model,n_seeds,mean_cost_mean,mean_cost_std,catastrophe_rate_mean,catastrophe_rate_std,mean_n_repairs_mean,mean_n_repairs_std,mean_n_replacements_mean,mean_n_replacements_std,mean_reward_mean,mean_reward_std
Risk-Neutral QR-DQN,2,186.8417268564208,130.22939352308725,9.666666666666666,7.666666666666666,0.0033333333333333335,0.0033333333333333335,0.7983333333333333,0.7983333333333333,-186.8417268564208,130.22939352308725
Dueling DQN,2,69.66367904678985,3.268679046789771,3.0,0.0,0.03166666666666667,0.03166666666666667,2.6016666666666666,0.43166666666666664,-69.66367904678985,3.268679046789771
CVaR QR-DQN (ours),2,207.60627958193444,128.96394624860113,11.5,5.833333333333334,0.01,0.01,1.7716666666666667,1.7716666666666667,-207.60627958193444,128.96394624860113
