repair_model,mean_cost,std_cost,catastrophe_pct,mean_n_repairs,mean_n_replacements,mean_repairs_before_repl
Perfect Repair,200.0,50.0,8.0,2.1,0.8,2.6
Exponential Decay (ours),252.0,45.0,9.0,1.3,1.1,1.2
